arm_one,arm_two,arm_three,arm_four,arm_five,arm_six,arm_seven,drink_x,drink_y,drink_z,hand_x,hand_y,hand_z
7.499993265530616737e-01,4.999993305804508181e-01,4.999996265542052121e-01,-7.360130062388098053e-07,5.000001669068315779e-01,5.000092770635017336e-01,4.984130028106092403e-01,8.001620753903438965e-01,7.965029524214987111e-01,5.050227878322054165e-02,9.491839199152105611e-01,1.072392115489021913e+00,2.514671369310565452e-01
7.435481151873407635e-01,4.931274884472117703e-01,4.940050669341452538e-01,3.184036193717164342e-02,5.057288962884811667e-01,4.904144220854743108e-01,4.985799730317281298e-01,8.001620753903438965e-01,8.012718092598374309e-01,5.050227878322054165e-02,9.521031040579810423e-01,1.062870515998054488e+00,2.828995283055452115e-01
7.355859852430978174e-01,4.872693246792376143e-01,4.964173800537497461e-01,6.368264184027672137e-02,5.099528702174858097e-01,4.831946858904408448e-01,4.950022209392863637e-01,8.001620753903438965e-01,8.043052821644030015e-01,5.050227878322053471e-02,9.518415377542011058e-01,1.046527773936646089e+00,3.101199429441834909e-01
7.276237551964207517e-01,4.843258606438918257e-01,4.979853711453829379e-01,9.552702425630643646e-02,5.098073926776054421e-01,4.768405416793670692e-01,4.920459851094183823e-01,8.001620753903438965e-01,8.062460971500727824e-01,5.050227878322053471e-02,9.502836588300498377e-01,1.030676658911982235e+00,3.242949816358735582e-01
7.196615147820994984e-01,4.830220403873094481e-01,5.001698485382380932e-01,1.273714067135248429e-01,5.081205641322880107e-01,4.712825097617518444e-01,4.901199799377849997e-01,8.001620753903438965e-01,8.074878300614525273e-01,5.050227878322053471e-02,9.478603971890386948e-01,1.015521953987007064e+00,3.314992169902213348e-01
7.116992743641554764e-01,4.822900908918525409e-01,5.005156396459214951e-01,1.592158423713262716e-01,5.051749993547887119e-01,4.696298156445319338e-01,4.887081965510919890e-01,8.001620753903438965e-01,8.082822904477285908e-01,5.050227878322053471e-02,9.446816629844565494e-01,1.000637584620125198e+00,3.348836197284271177e-01
7.037370377149319012e-01,4.845754117760069368e-01,5.010737695691827032e-01,1.910598773748537760e-01,5.024785012825849773e-01,4.687926309464640062e-01,4.877487484296122444e-01,8.001620753903438965e-01,8.087905859914623630e-01,5.050227878322053471e-02,9.418155318512437812e-01,9.857428165669717135e-01,3.246306481946557021e-01
6.957748028517449779e-01,4.875863676963558269e-01,5.021777272309299045e-01,2.229040135645410092e-01,4.995919489375492129e-01,4.705182005665629608e-01,4.899427496707746132e-01,8.001620753903438965e-01,8.091157933450860984e-01,5.050227878322053471e-02,9.381900811462535739e-01,9.710457339758190587e-01,3.116770030372680300e-01
6.878125750482252387e-01,4.905251445378799868e-01,5.041213633140599892e-01,2.547482072818955667e-01,5.001836470193149475e-01,4.706492491994063720e-01,4.902896431242684816e-01,8.001620753903438965e-01,8.093238609233969205e-01,5.050227878322053471e-02,9.333933073612230569e-01,9.565759796997893583e-01,3.003788960640360606e-01
6.798503574871105348e-01,4.937309689322096906e-01,5.057664134945788481e-01,2.865924324599275486e-01,5.037660762121348723e-01,4.714806332331341610e-01,4.917063460702616462e-01,8.001620753903438965e-01,8.094569825046334932e-01,5.050227878322053471e-02,9.276972038465132187e-01,9.423023309850665497e-01,2.882417619323583424e-01
6.718881516581706181e-01,4.965385667220353350e-01,5.061199667891238541e-01,3.184368123731140532e-01,5.097128419564604940e-01,4.725768428812842648e-01,4.935189489817475850e-01,8.001620753903438965e-01,8.095421536568850884e-01,5.050227878322053471e-02,9.210574072774472265e-01,9.283470338600408045e-01,2.768128971640543279e-01
6.639259602601278454e-01,5.004801985884996807e-01,5.078238283630400751e-01,3.502806423275885428e-01,5.142252006028802391e-01,4.731073732802317799e-01,4.953801706629488155e-01,8.001620753903438965e-01,8.095966461374315415e-01,5.050227878322052777e-02,9.135580196596232438e-01,9.149455016646906858e-01,2.628793224580388554e-01
6.559637850475797949e-01,5.035289139083466425e-01,5.076448743504017314e-01,3.821250230479974475e-01,5.165938426846221621e-01,4.727517814035542276e-01,4.963020695920672964e-01,8.001620753903438965e-01,8.096315104119847783e-01,5.050227878322053471e-02,9.051396863755128974e-01,9.022518172092149902e-01,2.507956394480982953e-01
6.480016270099017150e-01,5.052265635300483559e-01,5.071297040044486781e-01,4.139695204254401073e-01,5.141897857125131699e-01,4.733092437404928798e-01,4.985172994179858375e-01,8.001620753903438965e-01,8.096538165655665642e-01,5.050227878322052777e-02,8.960337783520921917e-01,8.903301309353324200e-01,2.442173067339348247e-01
6.400394894520483602e-01,5.054609882814803390e-01,5.076538140576498659e-01,4.458139533937987564e-01,5.098510093621059225e-01,4.730928346112848182e-01,4.994539838842440571e-01,8.001620753903438965e-01,8.096680880366925459e-01,5.050227878322052777e-02,8.864220334553323255e-01,8.788230706924795577e-01,2.455634938188335226e-01
6.320773726937896075e-01,5.043036538295426752e-01,5.065556357928170383e-01,4.776582587988756901e-01,5.056404659809149438e-01,4.726031727563140272e-01,5.006452354135679794e-01,8.001620753903438965e-01,8.096772189201213443e-01,5.050227878322052777e-02,8.762823237567100021e-01,8.678721786578821318e-01,2.495931863108742377e-01
6.241152778411904745e-01,5.031029897899328418e-01,5.052500193481268553e-01,5.095026923735868074e-01,5.025275656828039894e-01,4.726982198153697468e-01,5.038154886096574137e-01,8.001620753903438965e-01,8.096830608569093313e-01,5.050227878322052777e-02,8.655624581585693589e-01,8.576183717941491258e-01,2.528501166139457412e-01
6.161532073993548630e-01,5.028709461123173075e-01,5.031510639095805315e-01,5.413470598531291422e-01,4.981517409936087604e-01,4.719794184096994805e-01,5.071300862359660044e-01,8.001620753903438965e-01,8.096867985265118195e-01,5.050227878322052083e-02,8.542248080108237884e-01,8.481948546167278336e-01,2.503621678672237616e-01
6.081911629347488413e-01,5.054395724955150770e-01,5.000736634213187592e-01,5.731907486849262545e-01,4.957127675353172891e-01,4.688242051980862080e-01,5.098073123489149650e-01,8.001620753903438965e-01,8.096891898865288262e-01,5.050227878322051389e-02,8.420641511220254838e-01,8.397750877803805691e-01,2.351306988029092937e-01
6.002291424808131604e-01,5.074379216365720868e-01,4.988090356059342589e-01,6.050352602298006977e-01,4.970833618832383727e-01,4.653640004755198456e-01,5.128213481641344940e-01,8.001620753903438965e-01,8.096907198780313175e-01,5.050227878322051389e-02,8.293729164345812199e-01,8.319161249396660462e-01,2.259792101465294134e-01
5.922671489236305264e-01,5.078513557162743774e-01,4.965447512572192523e-01,6.368796840057077135e-01,4.988952585149112329e-01,4.610188676106645733e-01,5.160530947327963691e-01,8.001620753903438965e-01,8.096916987661875176e-01,5.050227878322051389e-02,8.162697898932312901e-01,8.245570193689977234e-01,2.202821346546992021e-01
5.843051810662388545e-01,5.061092638861366400e-01,4.948395038469533547e-01,6.687239270010578718e-01,4.970701850889317486e-01,4.639477276088710966e-01,5.214536084820715622e-01,8.001620753903438965e-01,8.096923250585693621e-01,5.050227878322051389e-02,8.032261008439004479e-01,8.167627741711538381e-01,2.227577033755397395e-01
5.763432409522182276e-01,5.047412452953904394e-01,4.944549962634784968e-01,7.005683743901802707e-01,4.974038368477582961e-01,4.664655230744339520e-01,5.255465429487459206e-01,8.001620753903438965e-01,8.096927257602686279e-01,5.050227878322051389e-02,7.898877091060418909e-01,8.095135161736998208e-01,2.266337543647032882e-01
5.683813311159445769e-01,5.039707855870061426e-01,4.937931750854141488e-01,7.324128513870106216e-01,4.995918614112471179e-01,4.685659453667844754e-01,5.277169026198261781e-01,8.001620753903438965e-01,8.096929821291092289e-01,5.050227878322051389e-02,7.760636444553212776e-01,8.029057721361583244e-01,2.274888950232382967e-01
5.604194514434636121e-01,5.037146841025164079e-01,4.924111467827744781e-01,7.642572653419493767e-01,5.018341244194878259e-01,4.706405386928185219e-01,5.277326088863236730e-01,8.001620753903438965e-01,8.096931461538252606e-01,5.050227878322051389e-02,7.617637139920132583e-01,7.968928086674943456e-01,2.247499514457162173e-01
5.524576030104451085e-01,5.037556301173856665e-01,4.900984008277179949e-01,7.961015711601198142e-01,5.028856911055221701e-01,4.718249776509622628e-01,5.256479207510380558e-01,8.001620753903438965e-01,8.096932510967949082e-01,5.050227878322050695e-02,7.469498197536359463e-01,7.915477350179321858e-01,2.186379769600954592e-01
5.444957880724976551e-01,5.044879288088871538e-01,4.862626118837929945e-01,8.279455419900794144e-01,5.046087415008794208e-01,4.699014165243438068e-01,5.217383208267007966e-01,8.001620753903438965e-01,8.096933182392789252e-01,5.050227878322050695e-02,7.312904005548994668e-01,7.873833053841656771e-01,2.065380274066941357e-01
5.365340038181394267e-01,5.072791767889806014e-01,4.832076672175343313e-01,8.597896375246725231e-01,5.081422092045001504e-01,4.668487423306323936e-01,5.182395154813306259e-01,8.001620753903438965e-01,8.096933611970222877e-01,5.050227878322050695e-02,7.151932172330166537e-01,7.849157261883775716e-01,1.913868318146001446e-01
5.323181764100649582e-01,5.101502270762049429e-01,4.825444584605915743e-01,8.916349621570404116e-01,5.126008322275122930e-01,4.647097790418707186e-01,5.164769068603113356e-01,8.001620753903438965e-01,8.096933886813750814e-01,5.050227878322051389e-02,7.064161667824995217e-01,7.952268285490341482e-01,1.833358543608820113e-01
5.338323141107220726e-01,5.123367662964531943e-01,4.822451788735008793e-01,9.199329971058249900e-01,5.153774319131410042e-01,4.630250745208780438e-01,5.158774837966421112e-01,8.001620753903438965e-01,8.096934062658567299e-01,5.050227878322052083e-02,7.073942786374166625e-01,8.206917114840690530e-01,1.787282360651481494e-01
5.355847834093364623e-01,5.133230608951742102e-01,4.819743743130078251e-01,9.160215260824283723e-01,5.178488960436180566e-01,4.605800978765199893e-01,5.145116903048276846e-01,8.001620753903438965e-01,8.096934175164033354e-01,5.050227878322052083e-02,7.098495685968136959e-01,8.241855954288838104e-01,1.758068529574763617e-01
5.384473312818283119e-01,5.140681177221965159e-01,4.828022414380433447e-01,9.028904678160154518e-01,5.201477687856577159e-01,4.595453779343368628e-01,5.147448905872692437e-01,8.001620753903438965e-01,8.096934247145001207e-01,5.050227878322052777e-02,7.153870340470664946e-01,8.244176875467799093e-01,1.758258771113492269e-01
5.400947285072006387e-01,5.147560114824193400e-01,4.822050307745295861e-01,8.826011236349496913e-01,5.205613402023177017e-01,4.583230956475569662e-01,5.150896348619792287e-01,8.001620753903438965e-01,8.096934293198405630e-01,5.050227878322052083e-02,7.188919461723692894e-01,8.161890986992785813e-01,1.717455883784885229e-01
5.408995454324537766e-01,5.151789596930221871e-01,4.816003072130019547e-01,8.619715496930692167e-01,5.221201136505998486e-01,4.554081097304797376e-01,5.132791933775542326e-01,8.001620753903438965e-01,8.096934322663361661e-01,5.050227878322052777e-02,7.207784453490068133e-01,8.047978088365348448e-01,1.681787399133954364e-01
5.426883546708390904e-01,5.156003431306865892e-01,4.812849330558434668e-01,8.469648969365284330e-01,5.232459767082188185e-01,4.538821282960277537e-01,5.130033105757481060e-01,8.001620753903438965e-01,8.096934341515031885e-01,5.050227878322052777e-02,7.240516872013467164e-01,8.004079881320256273e-01,1.656764709719863171e-01
5.449939929463132327e-01,5.155450030981920673e-01,4.811142924108630092e-01,8.238532156343678636e-01,5.176627187185705026e-01,4.532661748340575669e-01,5.142131210794493867e-01,8.001620753903438965e-01,8.096934353576326071e-01,5.050227878322052083e-02,7.283899141373549879e-01,7.921814245564331447e-01,1.646574864437444496e-01
5.471849673014107518e-01,5.146936719501210566e-01,4.822718000881427991e-01,8.195055100225466793e-01,5.151837975671748060e-01,4.513517929365250536e-01,5.129645209156526997e-01,8.001620753903438965e-01,8.096934361293138815e-01,5.050227878322052777e-02,7.329882260785324233e-01,7.956090011557923614e-01,1.699742408881614597e-01
5.495370917376056763e-01,5.148316983389545909e-01,4.826880531401293584e-01,8.130851694022416254e-01,5.148214451956467652e-01,4.518563256961715680e-01,5.143382823341240417e-01,8.001620753903438965e-01,8.096934366230353897e-01,5.050227878322052083e-02,7.373547789818404308e-01,7.989342057124206864e-01,1.705978599712628385e-01
5.522538207380753850e-01,5.155576319646539840e-01,4.817345363969095517e-01,8.003704063530359125e-01,5.080479648732014741e-01,4.530201523531858787e-01,5.164713984818726233e-01,8.001620753903438965e-01,8.096934369389182651e-01,5.050227878322052083e-02,7.418146542604346916e-01,7.999116552194517338e-01,1.660146278249790552e-01
5.551624068081886243e-01,5.157077507852597664e-01,4.817282816687198377e-01,7.913431110398484458e-01,5.084418288447470902e-01,4.544220680479609809e-01,5.179713409960958748e-01,8.001620753903438965e-01,8.096934371410199338e-01,5.050227878322052083e-02,7.469937853737902422e-01,8.033756091238397623e-01,1.652661370151338738e-01
5.571945945698942859e-01,5.160882627071904372e-01,4.808878552515152838e-01,7.796467335510397501e-01,5.088311281632221794e-01,4.545355193991703069e-01,5.179065503572540807e-01,8.001620753903438965e-01,8.096934372703246119e-01,5.050227878322052083e-02,7.502577576200291087e-01,8.024094862874115996e-01,1.616173115247888925e-01
5.587155118008714227e-01,5.171300344420267647e-01,4.804595643958705087e-01,7.673229463375775827e-01,5.102447443976584340e-01,4.548259440013284194e-01,5.176333535761571403e-01,8.001620753903438965e-01,8.096934373530536577e-01,5.050227878322052083e-02,7.526205326161079512e-01,7.995698908360548973e-01,1.571016076935645711e-01
5.603485673444107418e-01,5.174125397748364774e-01,4.811675015016639301e-01,7.585056309883092540e-01,5.116693380339873976e-01,4.550573947203576108e-01,5.172950623123909741e-01,8.001620753903438965e-01,8.096934374059836514e-01,5.050227878322051389e-02,7.557424373966861175e-01,7.989473730877517665e-01,1.576899960209149076e-01
5.622740995413723075e-01,5.173809661920099057e-01,4.818008691527566612e-01,7.487919992929932267e-01,5.129001266416112204e-01,4.548608461635486599e-01,5.165098463831719888e-01,8.001620753903438965e-01,8.096934374398483403e-01,5.050227878322051389e-02,7.593719127363914856e-01,7.986000260640899739e-01,1.589721661518707641e-01
5.644290879233828662e-01,5.171587811585300898e-01,4.826476556092506032e-01,7.428162481414858354e-01,5.140744118511489935e-01,4.547545386207721418e-01,5.154468080643515027e-01,8.001620753903438965e-01,8.096934374615148977e-01,5.050227878322051389e-02,7.635285174774006922e-01,8.014638369361164472e-01,1.614962991724672725e-01
5.656755203715861935e-01,5.174533990698119146e-01,4.823842463075551090e-01,7.362114243233354172e-01,5.143092204318343574e-01,4.545152245813942060e-01,5.145617713870517251e-01,8.001620753903438965e-01,8.096934374753772534e-01,5.050227878322051389e-02,7.655333149355105782e-01,8.013284563395473015e-01,1.597302844807833300e-01
5.666366631817525423e-01,5.176832176797595553e-01,4.823361661292804303e-01,7.288055540836914092e-01,5.152871885099683524e-01,4.546350227779845654e-01,5.141634345149278529e-01,8.001620753903438965e-01,8.096934374842463811e-01,5.050227878322051389e-02,7.671215223910211600e-01,7.995811444187979067e-01,1.586120185555396633e-01
5.681598521933366452e-01,5.178721901477705281e-01,4.822537959692973497e-01,7.163955496196086070e-01,5.167463736924930995e-01,4.550394742792913116e-01,5.138099914597644702e-01,8.001620753903438965e-01,8.096934374899208420e-01,5.050227878322050695e-02,7.696144974654928195e-01,7.963066378485171848e-01,1.573232388812632609e-01
5.700686069996718786e-01,5.178985859712761375e-01,4.821082939115998167e-01,7.066998918220149806e-01,5.173243446771961240e-01,4.557887615262094516e-01,5.138372758352167669e-01,8.001620753903438965e-01,8.096934374935512713e-01,5.050227878322050695e-02,7.728334001716403723e-01,7.961644867491569633e-01,1.565140889969149629e-01
5.725553325003956973e-01,5.189270560641610075e-01,4.816176734460608788e-01,6.865177469881849071e-01,5.143040128037827952e-01,4.564008702854045474e-01,5.145440205803361033e-01,8.001620753903438965e-01,8.096934374958740799e-01,5.050227878322051389e-02,7.764222072044505429e-01,7.917362873401410095e-01,1.515320303520009126e-01
5.741905369226509848e-01,5.201295719088335767e-01,4.818922983654119196e-01,6.759224742282597953e-01,5.136006349974381324e-01,4.556111446007906629e-01,5.135719356259355051e-01,8.001620753903438965e-01,8.096934374973602244e-01,5.050227878322051389e-02,7.788710966170958594e-01,7.908321353052703007e-01,1.480492758241217233e-01
5.750970624326489089e-01,5.214148149262679555e-01,4.817173446555363947e-01,6.686239671464956347e-01,5.136339456675440562e-01,4.552760703368192163e-01,5.133324388534160621e-01,8.001620753903438965e-01,8.096934374983110194e-01,5.050227878322051389e-02,7.798231183703943081e-01,7.898306412562362544e-01,1.432566750133727751e-01
5.754814902992739789e-01,5.221291590884449274e-01,4.811039537665611210e-01,6.630570024628523740e-01,5.137729863945608155e-01,4.547324274302010916e-01,5.128425154120948015e-01,8.001620753903438965e-01,8.096934374989193106e-01,5.050227878322051389e-02,7.798312231305483122e-01,7.879178903413572854e-01,1.392724060609193959e-01
5.759571803953340563e-01,5.227098406367315375e-01,4.806170198269228422e-01,6.580368243625959179e-01,5.140420145385985462e-01,4.544328163845789414e-01,5.126978160093986769e-01,8.001620753903438965e-01,8.096934374993085548e-01,5.050227878322051389e-02,7.800938743943517384e-01,7.866098985965594981e-01,1.360529768458018374e-01
5.761165883849550529e-01,5.232676339419339850e-01,4.799890338305294879e-01,6.551764429378916788e-01,5.141896056940452597e-01,4.539662285171204292e-01,5.122899784661985034e-01,8.001620753903438965e-01,8.096934374995575778e-01,5.050227878322051389e-02,7.798005389133165766e-01,7.856757216231604612e-01,1.326773942149777064e-01
5.762158549340234970e-01,5.238251144449790342e-01,4.794999058918711365e-01,6.510969259266105036e-01,5.139235277009431835e-01,4.533525753088787358e-01,5.120201211050255941e-01,8.001620753903438965e-01,8.096934374997168948e-01,5.050227878322051389e-02,7.793738361153579319e-01,7.837322988790271783e-01,1.295834243598814606e-01
5.762250967853046468e-01,5.244433366544789532e-01,4.792651216738244013e-01,6.484936079963847799e-01,5.130140323930664215e-01,4.522703344991834129e-01,5.115584429447225245e-01,8.001620753903438965e-01,8.096934374998188133e-01,5.050227878322050695e-02,7.789340573443643834e-01,7.825279767287156574e-01,1.269836997954850721e-01
5.765195597898628010e-01,5.249965224578000411e-01,4.790484145749540623e-01,6.465214725061432244e-01,5.131849243212802669e-01,4.511666154269058371e-01,5.111184014832721445e-01,8.001620753903438965e-01,8.096934374998839834e-01,5.050227878322050695e-02,7.790605190485967446e-01,7.827167771555201270e-01,1.246315899472309197e-01
5.769171468341802722e-01,5.255811270747011710e-01,4.789956223740168828e-01,6.449492818634896540e-01,5.135623803472427751e-01,4.505786621806340264e-01,5.112889407187473090e-01,8.001620753903438965e-01,8.096934374999257278e-01,5.050227878322050001e-02,7.794616070027954313e-01,7.835426914794005882e-01,1.225662761493892944e-01
5.772064715279436875e-01,5.259620512566068884e-01,4.788050417533582515e-01,6.421633190762446874e-01,5.138891478283031944e-01,4.500157815438575182e-01,5.115379990681572231e-01,8.001620753903438965e-01,8.096934374999524842e-01,5.050227878322050001e-02,7.796090579048029490e-01,7.830388764036866345e-01,1.207905559006616364e-01
5.779022655178059908e-01,5.257725928858451026e-01,4.792175615361441987e-01,6.392311221037314528e-01,5.144782927221490665e-01,4.495305395301352758e-01,5.117992289603804368e-01,8.001620753903438965e-01,8.096934374999695816e-01,5.050227878322050001e-02,7.810041935070219932e-01,7.833057731198947993e-01,1.222552004470679188e-01
5.785837549622409037e-01,5.256659647058352647e-01,4.791079540584857743e-01,6.344692517704517698e-01,5.150009662757509821e-01,4.488991020016551148e-01,5.118844649293834426e-01,8.001620753903438965e-01,8.096934374999805728e-01,5.050227878322050695e-02,7.820042760094029211e-01,7.824312789409809676e-01,1.221751605348255776e-01
5.790514262351937891e-01,5.258577608221135513e-01,4.789930618565699794e-01,6.309121558855752543e-01,5.153878610120827819e-01,4.482229829339280380e-01,5.119784004494279950e-01,8.001620753903438965e-01,8.096934374999875672e-01,5.050227878322050695e-02,7.825611478374860930e-01,7.818430752012486273e-01,1.211705455553118149e-01
5.795212059135513849e-01,5.261975006779457953e-01,4.789899422014424202e-01,6.269681460926739280e-01,5.157853325877688189e-01,4.476054759835006447e-01,5.120094441414393405e-01,8.001620753903438965e-01,8.096934374999920081e-01,5.050227878322050001e-02,7.830732439945393697e-01,7.810985050219617642e-01,1.198896971962063740e-01
5.802846327220378964e-01,5.264686517963557133e-01,4.789416908471546552e-01,6.225667897629586500e-01,5.159601975938714613e-01,4.472222199060454928e-01,5.122619469993456853e-01,8.001620753903438965e-01,8.096934374999947837e-01,5.050227878322050001e-02,7.841062174478735658e-01,7.810518983925025527e-01,1.187204651147523854e-01
5.813664666762995425e-01,5.267162781340722910e-01,4.790753762787221537e-01,6.177855807649393904e-01,5.166598751233406617e-01,4.468001636038517743e-01,5.124709994067333518e-01,8.001620753903438965e-01,8.096934374999965600e-01,5.050227878322050001e-02,7.857930601596951892e-01,7.818300927726884453e-01,1.180342313911400404e-01
5.820956257672513789e-01,5.264489922182002957e-01,4.793258459810126881e-01,6.150381204835992932e-01,5.167757993343499168e-01,4.463621698526904491e-01,5.126016045520633835e-01,8.001620753903438965e-01,8.096934374999977813e-01,5.050227878322050001e-02,7.872214057190064507e-01,7.823272223009283266e-01,1.194074041907691591e-01
5.825488409575295679e-01,5.263194816375394991e-01,4.797496096288292877e-01,6.122479804067770814e-01,5.169335400602167452e-01,4.462671955005996782e-01,5.131990713370424562e-01,8.001620753903438965e-01,8.096934374999985584e-01,5.050227878322050001e-02,7.881612219265208275e-01,7.818845889677685790e-01,1.207204207485459146e-01
5.830420102408764294e-01,5.269209659903711929e-01,4.802467546577918189e-01,6.081425877535248103e-01,5.170793218299285510e-01,4.456615064677589277e-01,5.131679959354352727e-01,8.001613342618928426e-01,8.097157058946685693e-01,5.050286793556616610e-02,7.885986081924913904e-01,7.815351512434325354e-01,1.196908162026718153e-01
5.832957127891742477e-01,5.271235433549308347e-01,4.802131665768729629e-01,6.065394991397670132e-01,5.167893067582027822e-01,4.451987003060439707e-01,5.132412529213844499e-01,8.001612682992950143e-01,8.097524926818757685e-01,5.050294081503017146e-02,7.888525411561975176e-01,7.815400220146926369e-01,1.189509005952063270e-01
5.834441456670557136e-01,5.272602879572418910e-01,4.800204670533231299e-01,6.048190832337113632e-01,5.164879543703568832e-01,4.446278180414894310e-01,5.132396364538012179e-01,8.001613679103717347e-01,8.097794725796907400e-01,5.050303774087936542e-02,7.886989629526051093e-01,7.813588535185049810e-01,1.180895278481246813e-01
5.836828046408906179e-01,5.275981528763711292e-01,4.792395473989131682e-01,6.029918120290131966e-01,5.163993078310377127e-01,4.437530896049703411e-01,5.129315977522849179e-01,8.001613758398979925e-01,8.098116130054805462e-01,5.050306653618472086e-02,7.884897409802709145e-01,7.814391519695822463e-01,1.152317239230238877e-01
5.840458542564040956e-01,5.277459162247910562e-01,4.781299817500937466e-01,6.017194056480918984e-01,5.161624522524327352e-01,4.420968260303423381e-01,5.119486434074860259e-01,8.001614280484310449e-01,8.098529711359682137e-01,5.050297044905348309e-02,7.886232892053273158e-01,7.820474441740683513e-01,1.123269742282563544e-01
5.843751091479368887e-01,5.277854674442906679e-01,4.772819895082683339e-01,6.000576044112972962e-01,5.159969444497424229e-01,4.410312218668748230e-01,5.116332344791280073e-01,8.001614303695114838e-01,8.098720807880660510e-01,5.050295442532075352e-02,7.887639339932250859e-01,7.822247209475783336e-01,1.103358988046868744e-01
